Name,Context,Skills
3G ARC Welder.docx,"Job Title: 3G ARC Welder

Job Summary:

We are seeking an experienced and reliable 3G ARC Welder to join our team. The successful candidate will be responsible for performing welding duties, including structural welding, repair work, and reading and interpreting mechanical drawings. The ideal candidate will have at least 5 years of experience working in power plant and refinery projects.

Key Responsibilities:

Perform welding duties using 6010, 6013, 7018, and other types of rods

Repair bits with small holes and/or cracks by arc welding

Check bit diameters using ring gauges

Set up and operate welding machines to work metal parts according to work specifications, blueprint layout, and verbal instructions

Interpret mechanical drawings, including weld requirement symbols

Follow process inspection, certification, and documentation requirements

Use conventional and precision measuring instruments

Work in compliance with all safety regulations and guidelines

Requirements:

At least 5 years of experience working in power plant and refinery projects

Proficient in 3G ARC welding techniques and methods

Ability to read and interpret mechanical drawings and welding symbols

Familiarity with conventional and precision measuring instruments

Ability to work independently or as part of a team

Strong problem-solving and decision-making skills

Excellent communication and interpersonal skills

Willingness to work in a fast-paced, demanding environment

Education and Qualifications:

Intermediate in Arts with 2nd division in 2014

Matriculation with 2nd division in 2011

Valid passport with at least 3 years before expiration

Location:

This position is based in our facility in Sasaram, Bihar, India.","arc welding, arity, clu, drawing, eprint, mechanical drawings, ndepend, refinery, welding, welding symbols"
Accounts Trainers.docx,"ACCOUNT TRAINERS

Description:

We are looking for an innovative Accounts Trainer (Female- freshers or experienced) to design training programs for students who are looking for an accounting career.

To be successful as a trainer you must be observant and have excellent analytical skills.

A good trainer is able to use alternative teaching methods to cater to various individuals.

Trainer Responsibilities: • Evaluate student performance to gauge where skills are lacking.

• Create training programs.

• Prepare learning materials for programs.

• Research new teaching methods.

Trainer Requirements: • A Graduate or Post Graduate in Accounting, Commerce or any relevant qualification.

• Must have completed Accounting Course • Excellent knowledge of Tally ERP 9 and Tally Prime.

• Excellent practical accounting knowledge.

• Excellent knowledge of GST, other taxation and its filing.

• Excellent of MS Office (Word,Excel,Power point) • Prior experience as a trainer will be given preference.

• Excellent interpersonal and communication skills.

• Knowledge of various teaching methods and approaches.

• Excellent organizational skills.

Job Type: Full-time Salary: 12,000.00 Schedule:  Skills: Tally, Accounting, Accountant Experience: 0.00-1.00 Years","accounting, analytical skills, filing, organizational skills, rna, research, tally erp, teaching"
Civil Engineer.docx,"Job Title: Civil Engineer



Job Description:



We are looking for a highly motivated and skilled Civil Engineer to join our team. The ideal candidate will have a Bachelor's Degree in Civil Engineering with excellent academic credentials. The candidate must have good technical skills in AutoCAD, Revit Architecture, and Solid Edge, and a basic understanding of C language.



Responsibilities:



Conduct site investigations and prepare reports on findings.

Design, develop and maintain infrastructure projects such as roads, bridges, and buildings.

Develop and manage project budgets and timelines.

Analyze and interpret technical data and specifications to create project plans.

Ensure projects are completed within budget and timeline constraints.

Supervise construction projects to ensure compliance with design specifications.

Liaise with contractors, stakeholders and regulatory bodies to ensure compliance with regulations.

Requirements:



Bachelor's Degree in Civil Engineering.

Good technical skills in AutoCAD, Revit Architecture, and Solid Edge.

Understanding of C language.

Strong analytical and problem-solving skills.

Excellent communication and interpersonal skills.

Ability to work well independently and as part of a team.

Good project management skills.

Willingness to travel to project sites.

If you have a passion for engineering and the skills required for this position, we encourage you to apply.","autocad, bridges, civil engineering, construction, design specifications, infrastructure, investigation, management, ndepend, project management, solid edge, timelines"
Civil Site Engineer.docx,"SITE MANAGER

Description:

Site Management - Manage the construction projects executed by us. Tracks all the project milestones and ensures that projects are completed within time and budgetary constraints.

Undertaking technical and feasibility studies including site investigations.

Survey Quality & Quantity of Raw Material at the time of delivery.

Managing budgets and project resources.

Take responsibility and ownership of your team's projects

Willingness to learn new ideas and implement.

Excellent interpersonal and communication skills with the ability to manage a design team, clients, vendors, and execution team.

Take joint measurement at site with sub contractor representative as & when required.

Maintain the record of Steel / Cement / RMC at site & to forward to PM.

Look after the safety aspects during work execution.

Ensure Quality work at site & proper curing of work.

Prepare and Send the Daily Progress report.

Proficient in English, Hindi & Kannada both written and oral.

Ability to interact well with coworkers, clients, and regulatory agencies

Ability to work independently, as well as, in a team environment

Manage customer grievances regarding the project and solve their technical queries.

Need to be exceptional in practical civil engineering knowledge and issues that typically arise on site.

Visit customer sites (Daily) for seamless and smooth execution of the project.","clu, civil engineering, construction, feasibility studies, investigation, less, management, ndepend, ogre, project resources, willingness to learn"
Data Scientist.docx,"Data Scientist/ ML Engineer

Game Change Solutions

-

Gurgaon, Haryana

Temporarily remote

₹20,00,000 - ₹25,00,000 a year

We are looking for a data scientist that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. Data Scientist at GameChange must be an energetic self-starter who can quickly grasp the company’s vision, develop specific tactical plans, and begin implementation upon appropriate approvals. The candidate must be resourceful and able to deliver on a plan defined.

Responsibilities –

Data Crunching and data massaging on structured and unstructured data including Numerical, Text,

Audio and Video data

Implementation/fine-tuning of machine learning algorithms

Conducting Data science/machine learning experiments and presenting insights

Building innovative data products using cutting edge tools and technologies

Conduct data analysis independently or with limited supervision to generate business insights

Conduct diagnostic on the data to identify the improvement opportunities, design data-backed

performance improvement strategy, liaise with internal teams

Record keeping and data warehousing to enable Advanced Analytics operations for generating

meaningful business insights

Develop high quality client deliverables such as R models, Python scripts etc.

Skills required -

Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes,

SVM, Decision Forests, CNN, RNN, LSTM etc.

Experience with common data science toolkits, such as R, Weka, NumPy, OpenCV, MatLab, etc.

Great communication skills

Experience with data visualisation tools, such as D3.js, GGplot, etc.

Proficiency in using query languages such as SQL, Hive, Pig

Experience with NoSQL databases, such as MongoDB, Cassandra, HBase

Good applied statistics skills, such as distributions, statistical testing, regression, etc.

Good scripting and programming skills

Job Type: Full-time

Salary: ₹2,000,000.00 - ₹2,500,000.00 per year

Experience:

Data Science: 2 years (Preferred)

work: 1 year (Preferred)

Education:

Bachelor's (Preferred)","algorithms, analytics, applied statistics, clu, d3.js, data analysis, data mining, data science, data warehousing, diction, energetic, lysis, matlab, machine learning, machine learning algorithms, mongodb, ndepend, naive bayes, nosql, numpy, opencv, operations, performance improvement, prediction, query languages, rna, statistica, scripting, statistics, supervision, toolkits, unstructured data, warehousing, weka"
Electrical Design Engineer.docx,"Job Title: Electrical Design Engineer

Location: Sonipat, Haryana

Job Summary:

We are seeking a skilled Electrical Design Engineer to join our Engineering Procurement & Construction (EPC) team in the Power, Oil & Gas, Process and Production sectors. The successful candidate will be responsible for designing and developing electrical systems and equipment, ensuring they are in compliance with specifications, codes and customer requirements.

Key Responsibilities:

Develop electrical designs for power, oil & gas, process and production projects, including single line diagrams, meter & relay coordination, load calculations, transformer and generator sizing, switchgear sizing and specifications, pump & motor sizing, cable & busbar sizing, cable tray & equipment layout, UPS & inverter battery sizing, lighting calculations, earthing & lightning protection calculation, among others.

Prepare and review technical documentation such as project specifications, calculations, and reports.

Coordinate with other engineering disciplines to ensure project deliverables meet customer requirements, budget, and timeline.

Use software tools such as ETAP, AUTOCAD, HALUX, LUXICON, DILux, and Pvsys4.2.3 to design, model and analyze electrical systems.

Provide technical support during the construction, installation and commissioning phases of projects.

Conduct site surveys and inspections to identify electrical design requirements and troubleshoot issues.

Mentor and train junior engineers or operational staff as required.

Keep up-to-date with emerging technologies, hardware, software & applications in the field.

Qualifications and Skills:

B.Tech. in Electrical Engineering or related field from a recognized university with at least 3-5 years of relevant work experience.

Strong knowledge of electrical design engineering, including design principles, codes and regulations, and ability to perform manual calculations.

Proficiency in electrical design software tools such as ETAP, AUTOCAD, HALUX, LUXICON, DILux, and Pvsys4.2.3.

Excellent oral & written business communication, negotiation, time management, and leadership skills.

Ability to work independently or as part of a team, take initiative, and prioritize tasks.

Attention to detail, analytical skills, and logical approach to problem-solving.

Must have a valid driving license and be willing to travel as required.

Personal Attributes:

Self-motivated, enthusiastic and a quick learner.

Calm under pressure and able to work in a fast-paced environment.

Strong integrity, optimistic, proactive, hardworking, and a team player.

Strong leadership, project, and people management skills.

Drawing and training & mentoring skills are desirable.

If you meet the above qualifications and are excited about working on challenging EPC projects, we encourage you to apply for this position.","analytical skills, autocad, busbar, business communication, clu, calculations, commissioning, construction, drawing, etap, electrical engineering, electrical systems, emerging technologies, installation, leadership, management, ndepend, negotiation, people management, procurement, site survey, surveys, switchgear, technical documentation, technical support, time management, usb"
Electrical Site Engineer.docx,"Job Title: Electrical Site Engineer

Job Description:

We are seeking an experienced Electrical Site Engineer to oversee and manage electrical installations and maintenance projects. The ideal candidate should have a strong technical background in electrical engineering and experience in managing and supervising projects from start to finish.

Responsibilities:

Supervise electrical wiring installations in commercial and industrial buildings, including power, Ethernet networks, security, and communication.

Plan and execute the installation and maintenance of electrical systems, including generators, distribution systems, transformers, battery, UPS, and air-conditioning systems.

Ensure compliance with local, national codes (NEPA), and customer specifications to ensure project completion within deadlines and budget.

Generate estimates and bill of materials from electrical blueprints.

Test and maintain refrigeration and air conditioning systems, rebuild pressure and temperature safety valves and water pumps.

Monitor temperature, humidity, air flow, noise level of equipment, velocity of the air, motor speed and heat regularly using instruments such as thermometer, sling psychrometer, anima meter, clam meter, tachometer, multi meter.

Analyze power quality problems using Fluke Device 2.0 and improve power quality by mitigating harmonics with the help of filters (capacitive).

Develop project objectives, determine project specifications, and prepare project schedules by studying project proposals, plans, and customer requirements.

Maintain project schedules by monitoring project progress, coordinating activities, and resolving problems.

Prepare project status reports by collecting, analyzing, and summarizing information and trends.

Maintain a safe and clean working environment by enforcing procedures, rules, and regulations.

Maintain project database by writing computer programs, entering and backing up data.

Maintain product and company reputation by complying with federal and state regulations.

Contribute to team effort by accomplishing related results as needed.

Requirements:

Bachelor's degree in Electrical and Electronics Engineering or related field.

Proven experience as an Electrical Site Engineer or similar role, with at least 5 years of experience in managing electrical installations and maintenance projects.

Good knowledge of local, national codes (NEPA), and customer specifications related to electrical systems.

Strong technical background in electrical engineering and good knowledge of power system analysis tools such as MATLAB.

Excellent computer skills, including MS Office.

Excellent communication, interpersonal, and leadership skills.

Ability to work independently and manage multiple projects simultaneously.

Willingness to work in a fast-paced environment and adapt to changing project requirements.

Availability to work on-site and travel as required.","clu, coordinating, ebuild, electrical engineering, electrical systems, electrical wiring, electronics, eprint, ethernet, installation, leadership, lysis, mari, matlab, midi, monit, ndepend, ogre, project proposals, project schedules, pumps, refrigeration, writing"
Electrician Technician.docx,"Job Title: Electrician Technician



Job Summary: We are seeking an experienced Electrician Technician to join our team. The ideal candidate should have strong technical skills and experience in the electrical field, with the ability to install, maintain, and repair electrical systems and equipment. The Electrician Technician should also have knowledge of safety regulations and be able to work in a team environment.



Key Responsibilities:



Install, maintain, and repair electrical systems and equipment in compliance with safety regulations

Troubleshoot electrical problems and identify appropriate solutions

Perform regular inspections of electrical systems and equipment to ensure they are operating properly

Collaborate with other technicians and contractors to ensure timely completion of projects

Maintain accurate records of work performed and parts used

Follow company policies and procedures, including safety protocols

Maintain a clean and organized work environment

Perform other duties as assigned by the supervisor

Qualifications:



High school diploma or equivalent

Completion of a recognized apprenticeship program or technical school in electrical trade

Minimum of 3 years of experience in electrical installation, maintenance, and repair work

Knowledge of electrical systems, hand and power tools, and safety protocols

Ability to read and interpret electrical schematics and blueprints

Good communication skills and ability to work in a team environment

Willingness to work flexible hours, including weekends and holidays

Ability to lift heavy objects and work in confined spaces or at heights

Valid electrical license or certification preferred

If you are a skilled Electrician Technician who is looking for a challenging career with room for growth, we encourage you to apply for this position. We offer competitive salary, benefits, and a positive work environment.","clu, electrical systems, eprint, installation"
Electronics and Communication Engineer.docx,"Job Title: Electronics and Communication Engineer

Job Description:

We are looking for a skilled Electronics and Communication Engineer to join our team. The successful candidate will be responsible for designing, developing, and maintaining electronic systems and communication networks. As an Electronics and Communication Engineer, you will also be responsible for troubleshooting and repairing electronic systems, ensuring they are functioning at peak performance.

Responsibilities:

Design, develop, and maintain electronic systems and communication networks.

Troubleshoot and repair electronic systems, ensuring they are functioning at peak performance.

Collaborate with cross-functional teams to identify and address design issues.

Develop and maintain documentation for electronic systems and communication networks.

Ensure compliance with all relevant regulations and standards.

Stay up-to-date with advancements in electronic engineering and communication technology.

Provide technical support to customers and internal teams as needed.

Requirements:

Bachelor's degree in Electronics and Communication Engineering or related field.

Strong knowledge of electronic systems and communication networks.

Experience with CCNA networking, IP routing, and switch networking.

Familiarity with programming languages such as C.

Proficient in MS Office and computer systems.

Experience with industrial training and final year projects.

Ability to troubleshoot and repair electronic systems.

Strong problem-solving skills.

Excellent communication and collaboration skills.

Self-motivated and able to work independently or as part of a team.

Ability to manage multiple projects and prioritize tasks effectively.

If you have a passion for electronic systems and communication technology, we encourage you to apply for this exciting opportunity. We offer a competitive salary, comprehensive benefits, and the opportunity to work on cutting-edge projects in a dynamic and collaborative environment.","arity, collaboration, computer systems, electronic engineering, electronic systems, electronics, ip routing, ndepend, rna, technical support"
Information Technology Professional.docx,"Job Title: Information Technology Professional

Job Summary:

We are seeking an experienced Information Technology Professional to join our team. The ideal candidate should possess excellent technical skills, be a self-starter, and possess strong communication and teamwork abilities. The successful candidate will be responsible for developing and implementing innovative solutions to enhance our organization's growth and productivity. The candidate should be passionate about the latest technology trends and have a strong desire to learn and stay current with new developments in the IT industry.

Key Responsibilities:

Design, develop, and maintain websites and web applications using programming languages such as HTML, CSS, PHP, and AJAX.

Develop and maintain databases using MYSQL and SQL Server.

Troubleshoot and debug code to ensure optimal performance.

Implement network infrastructure and maintain network security.

Participate in the development and implementation of IT policies and procedures.

Work collaboratively with cross-functional teams to identify and resolve technical issues.

Stay current with industry trends and technologies and provide recommendations for improvement.

Qualifications:

Bachelor's degree in Information Technology or a related field.

Minimum of 2 years of experience in web development, networking, or related IT fields.

Proficient in programming languages such as C, C++, HTML, CSS, PHP, and AJAX.

Experience with PHP-CMS platforms such as Magento and WordPress.

Strong understanding of network infrastructure and security.

Excellent communication and teamwork skills.

Ability to work in a fast-paced environment and manage multiple priorities.

Knowledge of Windows operating systems and MS Office applications.

Knowledge of tools/software such as Notepad++, Dreamweaver, and Mysql.

Personal Qualities:

Ability to motivate others and work as an active team member.

Self-motivated with a strong desire to learn and stay current with industry trends.

Strong problem-solving skills and ability to troubleshoot technical issues.

Detail-oriented with strong organizational skills.

Strong work ethic and ability to go the extra mile to deliver results.

If you meet the qualifications and possess the personal qualities listed above, we encourage you to apply for this exciting opportunity. We offer a competitive salary, comprehensive benefits package, and opportunities for professional growth and development.","g programming language, information technology, infrastructure, magento, mysql, network infrastructure, network security, notepad++, office app, operating systems, organizational skills, teamwork, tform, web applications, web development, wordpress"
